workload,cycles,cache-misses,instructions,cycle_activity.stalls_total,branch-misses,context-switches,iTLB-load-misses,IpCall,IpLoad,IpMispredict,BpTkBranch,MLP,SPEC_speed_score
500.perlbench_r,1143966087405,7047266518,2551519544932,246752275917,3652266438,7846,39128498,77.373,3.35,698.787,1.93,1.24,0.9290912759
500.perlbench_r,1150611376199,7147301061,2564549200438,248795995189,3659797542,7885,39215333,77.28,3.34,701.01,1.93,1.24,0.9290912759
500.perlbench_r,1157262639710,7246691238,2577824568192,250745771379,3667801758,7920,39314032,77.183,3.34,703.24,1.93,1.237,0.9290912759
500.perlbench_r,1163884637763,7343976010,2591941261985,252402759410,3677163375,7955,39442254,77.1,3.34,705.307,1.93,1.237,0.9290912759
500.perlbench_r,1170644782795,7391036546,2606464923851,253756350681,3698859421,7987,39749090,77.007,3.34,707.027,1.93,1.237,0.9290912759
500.perlbench_r,1177503198635,7412280754,2618881219241,255464280902,3728911445,8021,40212582,77.013,3.34,704.607,1.93,1.237,0.9290912759
500.perlbench_r,1184349797013,7436120277,2631445952141,257178287751,3758801982,8080,40698652,77.02,3.34,702.193,1.93,1.237,0.9290912759
500.perlbench_r,1191197609425,7459661210,2643655152173,258936581359,3788628592,8186,41184440,77.037,3.34,699.833,1.93,1.237,0.9290912759
500.perlbench_r,1197857809257,7486325802,2656653637402,260500453156,3814274807,8327,41552453,77.04,3.34,697.653,1.93,1.237,0.9290912759
500.perlbench_r,1204563055763,7516293242,2671854677682,261829347573,3844148746,8447,41732283,77.083,3.34,696.73,1.93,1.24,0.9290912759
500.perlbench_r,1211276636757,7545330578,2687320119538,263143788821,3874983496,8542,41897288,77.177,3.34,695.103,1.93,1.24,0.9290912759
500.perlbench_r,1217939322598,7577461331,2701891043301,264585463657,3904700044,8720,42081847,77.27,3.34,693.47,1.93,1.24,0.9290912759
500.perlbench_r,1224710298655,7608811056,2717430818115,265961664541,3936112590,8880,42263407,77.367,3.35,691.943,1.93,1.24,0.9290912759
500.perlbench_r,1231534106035,7636353467,2733354751350,267300931141,3967524103,9064,42437828,77.457,3.35,690.33,1.93,1.24,0.9290912759
500.perlbench_r,1238364047123,7664848887,2749245969552,268654297065,3998823434,9169,42619206,77.553,3.35,688.937,1.93,1.24,0.9290912759
500.perlbench_r,1245196508136,7692527083,2765193245306,269992426854,4029965054,9289,42796527,77.643,3.35,687.557,1.93,1.24,0.9290912759
500.perlbench_r,1251861276654,7722813647,2779873425923,271354242066,4059916028,9408,42983516,77.73,3.35,686.03,1.93,1.243,0.9290912759
500.perlbench_r,1258588340748,7751253871,2795597229847,272631656373,4091114896,9530,43159285,77.82,3.35,684.603,1.93,1.243,0.9290912759
500.perlbench_r,1265321625111,7780921038,2810952930502,273968312533,4122410913,9637,43352181,77.91,3.35,683.133,1.93,1.243,0.9290912759
500.perlbench_r,1272076656638,7810010035,2826443528553,275295345161,4153767255,9669,43532931,77.993,3.35,681.653,1.93,1.243,0.9290912759
500.perlbench_r,1278822096300,7838309546,2842017057887,276600540066,4185012806,9697,43709291,78.083,3.36,680.24,1.93,1.243,0.9290912759
500.perlbench_r,1285581302068,7868912035,2857467347764,277954958772,4216519213,9718,43900452,78.163,3.36,678.773,1.93,1.243,0.9290912759
500.perlbench_r,1292339598494,7898740665,2873130887025,279273645013,4248282511,9734,44078791,78.25,3.36,677.42,1.94,1.243,0.9290912759
500.perlbench_r,1299097006094,7925984174,2888958385292,280540611217,4279706659,9742,44240738,78.33,3.36,675.947,1.94,1.243,0.9290912759
500.perlbench_r,1305850738502,7955822241,2904506057614,281872437746,4311346251,9809,44427416,78.413,3.36,674.613,1.94,1.243,0.9290912759
500.perlbench_r,1312482787757,7984287008,2920102762638,283178604352,4342832866,9904,44609629,78.493,3.36,673.363,1.94,1.247,0.9290912759
